,id,lang,text,user_id,screen_name,name,statuses_count,retweet_count,source_url,source_url_cat
22,1265658564292550658,en,RT @patri_vaquero_: 🔬 Colab Pro: Is it Worth the Money? #BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats…,1204128767251230720,codedailybot,#100daysOfCode,352714,13,https://twitter.com/codedailybot,https://twitter.com/codedailybot
23,1265658564284219393,en,RT @patri_vaquero_: 🔬 Colab Pro: Is it Worth the Money? #BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats…,1204128767251230720,codedailybot,#100daysOfCode,352714,13,https://twitter.com/codedailybot,https://twitter.com/codedailybot
24,1265658482017042432,en,RT @patri_vaquero_: 🔬 Colab Pro: Is it Worth the Money? #BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats…,971620109197312000,ServerlessFan,Serverless Fan,221904,13,http://localhost.com,http://localhost.com
25,1265658459401453568,en,🔬 Colab Pro: Is it Worth the Money? #BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python… https://t.co/cPuYlemoXk,1141410142937911296,patri_vaquero_,# Patricia #,8377,13,http://twitter.com/download/android,http://twitter.com/download/android
26,1265653616326696961,en,"RT @PinakiLaskar: #Programmer directory!

#AI #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #reactjs #Cloud #Serverless #Nod…",1229091405152256001,redianbot,Ready Dev,111873,87,https://go-shopal.herokuapp.com,https://go-shopal.herokuapp.com
27,1265653604330995713,en,"RT @PinakiLaskar: #Programmer directory!

#AI #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #reactjs #Cloud #Serverless #Nod…",1260062769543434240,nlognbot,nlognbot,28781,87,https://nlogn.in,https://nlogn.in
28,1265653586773622789,en,"RT @PinakiLaskar: #Programmer directory!

#AI #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #reactjs #Cloud #Serverless #Nod…",1182866592138350592,theInfernobot,Inferno,9154,87,https://google.com,https://google.com
29,1265653561544839168,en,"RT @PinakiLaskar: #Programmer directory!

#AI #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #reactjs #Cloud #Serverless #Nod…",885513434569355265,Taieb_Bot,JSBot,446657,87,https://github.com/AlFalahTaieb,https://github.com/AlFalahTaieb
30,1265653548823560192,en,"RT @PinakiLaskar: #Programmer directory!

#AI #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #reactjs #Cloud #Serverless #Nod…",1127829883013361665,xaelbot,xael bot,414224,87,https://yathinbabu.github.io,https://yathinbabu.github.io
31,1265653536131624962,en,"RT @PinakiLaskar: #Programmer directory!

#AI #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #reactjs #Cloud #Serverless #Nod…",108944992,a1akhai,Andrea Castelli,889,87,http://itunes.apple.com/us/app/twitter/id409789998?mt=12,http://itunes.apple.com/us/app/twitter/id409789998?mt=12
32,1265651541542711296,en,"RT @dayus4heaven: HTML4  Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #RSt…",1190726565073522694,LlnuxBot,LinuxBot,256851,25,https://techdox.nz,https://techdox.nz
33,1265651482080292866,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1174982905728249856,CoDailychalleng,Coding DailyChallenge,9803,50,https://donow.in,https://donow.in
34,1265651377314947077,en,"RT @dayus4heaven: HTML4  Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #RSt…",868084744763965443,iotworlds,IoT Worlds,40008,25,https://mobile.twitter.com,https://mobile.twitter.com
35,1265651014121721856,en,"RT @FARHAN_RABBANI: Keyboard shortcuts 

#Robots #Robotics #AI #BigData #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #react…",1204128767251230720,codedailybot,#100daysOfCode,352714,36,https://twitter.com/codedailybot,https://twitter.com/codedailybot
36,1265650798710542336,en,"RT @FARHAN_RABBANI: Keyboard shortcuts 

#Robots #Robotics #AI #BigData #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #react…",1242050244285624320,ndroid_techk,Ndroid Technology,4132,36,http://ndroid.online,http://ndroid.online
37,1265650604598312960,en,"RT @KirkDBorne: Comparison of #DeepLearning Frameworks — #PyTorch vs. #TensorFlow: https://t.co/D0WmDr5YOK by @meheller  
—————
#BigData #D…",145160621,pacehrb,Hanmant Bongane,20319,46,http://twitter.com/download/iphone,http://twitter.com/download/iphone
38,1265649857039122433,en,RT @patri_vaquero_: 🔬 Hands-On-Neural-Networks-with #TensorFlow-2.0. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTo…,1141410142937911296,patri_vaquero_,# Patricia #,8377,12,http://twitter.com/download/android,http://twitter.com/download/android
